Approximate;1;1024;0.000276;0.151279;0.151604;
OMP+CUDA;1;1024;0.000000;0.004233;0.268000;
OMP+CUDA_L1;1;1024;0.000000;0.004207;0.250000;
Approximate;2;1024;0.000210;0.075454;0.075680;
OMP+CUDA;2;1024;0.000000;0.004348;0.140000;
OMP+CUDA_L1;2;1024;0.000000;0.005710;0.143000;
Approximate;4;1024;0.000210;0.037957;0.038178;
OMP+CUDA;4;1024;0.000000;0.004251;0.128000;
OMP+CUDA_L1;4;1024;0.000000;0.004192;0.135000;
Approximate;8;1024;0.000204;0.018011;0.018227;
OMP+CUDA;8;1024;0.000000;0.004289;0.133000;
OMP+CUDA_L1;8;1024;0.000000;0.004382;0.130000;
Approximate;1;1024;0.000227;0.141210;0.141448;
OMP+CUDA;1;1024;0.000000;0.004230;0.277000;
OMP+CUDA_L1;1;1024;0.000000;0.004432;0.248000;
Approximate;2;1024;0.000210;0.074673;0.074895;
OMP+CUDA;2;1024;0.000000;0.003935;0.150000;
OMP+CUDA_L1;2;1024;0.000000;0.004325;0.146000;
Approximate;4;1024;0.000224;0.046976;0.047212;
OMP+CUDA;4;1024;0.000000;0.004112;0.127000;
OMP+CUDA_L1;4;1024;0.000000;0.004222;0.127000;
Approximate;8;1024;0.000304;0.018188;0.018510;
OMP+CUDA;8;1024;0.000000;0.004248;0.122000;
OMP+CUDA_L1;8;1024;0.000000;0.004383;0.111000;
Approximate;1;1024;0.000217;0.144806;0.145038;
OMP+CUDA;1;1024;0.000000;0.004198;0.256000;
OMP+CUDA_L1;1;1024;0.000000;0.004311;0.258000;
Approximate;2;1024;0.000219;0.072308;0.072538;
OMP+CUDA;2;1024;0.000000;0.004411;0.145000;
OMP+CUDA_L1;2;1024;0.000000;0.004469;0.153000;
Approximate;4;1024;0.000220;0.037028;0.037264;
OMP+CUDA;4;1024;0.000000;0.004426;0.116000;
OMP+CUDA_L1;4;1024;0.000000;0.004284;0.113000;
Approximate;8;1024;0.000270;0.019731;0.020018;
OMP+CUDA;8;1024;0.000000;0.004407;0.109000;
OMP+CUDA_L1;8;1024;0.000000;0.004074;0.110000;
Approximate;1;1024;0.000207;0.144798;0.145016;
OMP+CUDA;1;1024;0.000000;0.004293;0.266000;
OMP+CUDA_L1;1;1024;0.000000;0.004484;0.251000;
Approximate;2;1024;0.000314;0.076073;0.076404;
OMP+CUDA;2;1024;0.000000;0.003941;0.144000;
OMP+CUDA_L1;2;1024;0.000000;0.004082;0.136000;
Approximate;4;1024;0.000424;0.037504;0.037949;
OMP+CUDA;4;1024;0.000000;0.004358;0.119000;
OMP+CUDA_L1;4;1024;0.000000;0.004408;0.111000;
Approximate;8;1024;0.000263;0.019683;0.019961;
OMP+CUDA;8;1024;0.000000;0.004386;0.109000;
OMP+CUDA_L1;8;1024;0.000000;0.004266;0.105000;
Approximate;1;1024;0.000217;0.146957;0.147186;
OMP+CUDA;1;1024;0.000000;0.004147;0.261000;
OMP+CUDA_L1;1;1024;0.000000;0.004399;0.257000;
Approximate;2;1024;0.000226;0.073964;0.074216;
OMP+CUDA;2;1024;0.000000;0.004305;0.143000;
OMP+CUDA_L1;2;1024;0.000000;0.004078;0.142000;
Approximate;4;1024;0.000322;0.046085;0.046428;
OMP+CUDA;4;1024;0.000000;0.004234;0.117000;
OMP+CUDA_L1;4;1024;0.000000;0.004043;0.108000;
Approximate;8;1024;0.000229;0.019551;0.019794;
OMP+CUDA;8;1024;0.000000;0.004211;0.109000;
OMP+CUDA_L1;8;1024;0.000000;0.004276;0.111000;
Approximate;1;1024;0.000279;0.145363;0.145653;
OMP+CUDA;1;1024;0.000000;0.004448;0.265000;
OMP+CUDA_L1;1;1024;0.000000;0.004255;0.256000;
Approximate;2;1024;0.000213;0.071207;0.071432;
OMP+CUDA;2;1024;0.000000;0.004428;0.143000;
OMP+CUDA_L1;2;1024;0.000000;0.004299;0.145000;
Approximate;4;1024;0.000225;0.039696;0.039934;
OMP+CUDA;4;1024;0.000000;0.004354;0.115000;
OMP+CUDA_L1;4;1024;0.000000;0.004215;0.107000;
Approximate;8;1024;0.000218;0.019938;0.020169;
OMP+CUDA;8;1024;0.000000;0.004557;0.110000;
OMP+CUDA_L1;8;1024;0.000000;0.004151;0.104000;
Approximate;1;1024;0.000216;0.143363;0.143590;
OMP+CUDA;1;1024;0.000000;0.004260;0.264000;
OMP+CUDA_L1;1;1024;0.000000;0.004354;0.251000;
Approximate;2;1024;0.000294;0.070099;0.070409;
OMP+CUDA;2;1024;0.000000;0.004550;0.146000;
OMP+CUDA_L1;2;1024;0.000000;0.004122;0.140000;
Approximate;4;1024;0.000298;0.038054;0.038369;
OMP+CUDA;4;1024;0.000000;0.004200;0.123000;
OMP+CUDA_L1;4;1024;0.000000;0.004383;0.113000;
Approximate;8;1024;0.000226;0.020436;0.020698;
OMP+CUDA;8;1024;0.000000;0.004367;0.120000;
OMP+CUDA_L1;8;1024;0.000000;0.004372;0.104000;
