Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00044700;0.70133629;0.70180843;1.00000000;100.0000
Approximate;2;1024;0.00047857;0.34700086;0.34750100;1.00000000;100.0000
Approximate;4;1024;0.00044600;0.17598614;0.17645457;1.00000000;100.0000
Approximate;8;1024;0.00044300;0.09622186;0.09668800;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00844886;0.70128571;1.00074537;100.0745
OMP+CUDA;2;1024;0.00000000;0.00872486;0.26514286;1.31061800;65.5309
OMP+CUDA;4;1024;0.00000000;0.00885343;0.16028571;1.10087522;27.5219
OMP+CUDA;8;1024;0.00000000;0.00840529;0.12314286;0.78516937;9.8146
OMP+CUDA_L1;1;1024;0.00000000;0.00856400;0.70514286;0.99527127;99.5271
OMP+CUDA_L1;2;1024;0.00000000;0.00851043;0.26500000;1.31132453;65.5662
OMP+CUDA_L1;4;1024;0.00000000;0.00879729;0.14828571;1.18996339;29.7491
OMP+CUDA_L1;8;1024;0.00000000;0.00855343;0.12100000;0.79907438;9.9884
