Approximate;1;1024;0.001107;2.601327;2.602473;
OMP+CUDA;1;1024;0.001000;0.037748;2.534000;
OMP+CUDA_L1;1;1024;0.001000;0.037040;2.512000;
Approximate;2;1024;0.000894;1.264603;1.265536;
OMP+CUDA;2;1024;0.001000;0.039032;0.740000;
OMP+CUDA_L1;2;1024;0.001000;0.036631;0.754000;
Approximate;4;1024;0.001012;0.663373;0.664446;
OMP+CUDA;4;1024;0.001000;0.040327;0.276000;
OMP+CUDA_L1;4;1024;0.001000;0.040486;0.277000;
Approximate;8;1024;0.001007;0.323198;0.324246;
OMP+CUDA;8;1024;0.001000;0.038356;0.186000;
OMP+CUDA_L1;8;1024;0.001000;0.039893;0.156000;
Approximate;1;1024;0.000901;2.458938;2.459883;
OMP+CUDA;1;1024;0.001000;0.039412;2.458000;
OMP+CUDA_L1;1;1024;0.001000;0.038742;2.428000;
Approximate;2;1024;0.000807;1.245144;1.245988;
OMP+CUDA;2;1024;0.001000;0.040001;0.723000;
OMP+CUDA_L1;2;1024;0.001000;0.035772;0.753000;
Approximate;4;1024;0.000890;0.636622;0.637548;
OMP+CUDA;4;1024;0.001000;0.039864;0.278000;
OMP+CUDA_L1;4;1024;0.001000;0.040169;0.275000;
Approximate;8;1024;0.000863;0.318966;0.319868;
OMP+CUDA;8;1024;0.001000;0.036759;0.157000;
OMP+CUDA_L1;8;1024;0.001000;0.037122;0.159000;
Approximate;1;1024;0.000883;2.499876;2.500798;
OMP+CUDA;1;1024;0.001000;0.040045;2.494000;
OMP+CUDA_L1;1;1024;0.001000;0.039476;2.481000;
Approximate;2;1024;0.000878;1.228877;1.229793;
OMP+CUDA;2;1024;0.001000;0.041853;0.745000;
OMP+CUDA_L1;2;1024;0.001000;0.039794;0.736000;
Approximate;4;1024;0.000878;0.640132;0.641059;
OMP+CUDA;4;1024;0.001000;0.038734;0.282000;
OMP+CUDA_L1;4;1024;0.001000;0.037579;0.269000;
Approximate;8;1024;0.000832;0.322893;0.323770;
OMP+CUDA;8;1024;0.001000;0.038509;0.162000;
OMP+CUDA_L1;8;1024;0.001000;0.038346;0.171000;
Approximate;1;1024;0.000891;2.483723;2.484664;
OMP+CUDA;1;1024;0.001000;0.037736;2.497000;
OMP+CUDA_L1;1;1024;0.001000;0.039937;2.425000;
Approximate;2;1024;0.000858;1.252599;1.253495;
OMP+CUDA;2;1024;0.001000;0.039719;0.739000;
OMP+CUDA_L1;2;1024;0.001000;0.039025;0.735000;
Approximate;4;1024;0.000820;0.640049;0.640925;
OMP+CUDA;4;1024;0.001000;0.039106;0.275000;
OMP+CUDA_L1;4;1024;0.001000;0.040377;0.270000;
Approximate;8;1024;0.000851;0.330533;0.331423;
OMP+CUDA;8;1024;0.001000;0.039020;0.174000;
OMP+CUDA_L1;8;1024;0.001000;0.039809;0.157000;
Approximate;1;1024;0.000912;2.629532;2.630481;
OMP+CUDA;1;1024;0.001000;0.038377;2.558000;
OMP+CUDA_L1;1;1024;0.001000;0.039612;2.542000;
Approximate;2;1024;0.000949;1.334808;1.335892;
OMP+CUDA;2;1024;0.001000;0.037994;0.749000;
OMP+CUDA_L1;2;1024;0.001000;0.038866;0.741000;
Approximate;4;1024;0.000804;0.666561;0.667402;
OMP+CUDA;4;1024;0.001000;0.040094;0.280000;
OMP+CUDA_L1;4;1024;0.001000;0.038938;0.274000;
Approximate;8;1024;0.000836;0.313329;0.314208;
OMP+CUDA;8;1024;0.001000;0.038855;0.180000;
OMP+CUDA_L1;8;1024;0.001000;0.038731;0.153000;
Approximate;1;1024;0.000884;2.497429;2.498358;
OMP+CUDA;1;1024;0.001000;0.038905;2.500000;
OMP+CUDA_L1;1;1024;0.001000;0.040979;2.486000;
Approximate;2;1024;0.001246;1.259279;1.260636;
OMP+CUDA;2;1024;0.001000;0.040027;0.743000;
OMP+CUDA_L1;2;1024;0.001000;0.036545;0.737000;
Approximate;4;1024;0.000844;0.643467;0.644349;
OMP+CUDA;4;1024;0.001000;0.038064;0.278000;
OMP+CUDA_L1;4;1024;0.001000;0.040284;0.275000;
Approximate;8;1024;0.000849;0.328343;0.329238;
OMP+CUDA;8;1024;0.001000;0.038863;0.189000;
OMP+CUDA_L1;8;1024;0.001000;0.039322;0.156000;
Approximate;1;1024;0.000879;2.513971;2.514889;
OMP+CUDA;1;1024;0.001000;0.036836;2.429000;
OMP+CUDA_L1;1;1024;0.001000;0.038120;2.476000;
Approximate;2;1024;0.001015;1.226628;1.227695;
OMP+CUDA;2;1024;0.001000;0.038833;0.735000;
OMP+CUDA_L1;2;1024;0.001000;0.039348;0.733000;
Approximate;4;1024;0.000815;0.625815;0.626666;
OMP+CUDA;4;1024;0.001000;0.039280;0.304000;
OMP+CUDA_L1;4;1024;0.001000;0.035689;0.274000;
Approximate;8;1024;0.000849;0.316117;0.317007;
OMP+CUDA;8;1024;0.001000;0.038044;0.203000;
OMP+CUDA_L1;8;1024;0.001000;0.038132;0.147000;
