Approximate;1;1;0.000387;0.0;2.772595;2.772982;
OMP+MPI;1;1;0.000406;0.000014;2.775904;2.776311;
Approximate;1;2;0.000690;0.0;1.397454;1.398144;
OMP+MPI;1;2;0.000406;0.000013;0.789559;0.789967;
Approximate;1;4;0.000412;0.0;0.685667;0.686079;
OMP+MPI;1;4;0.000629;0.012805;0.234984;0.235615;
Approximate;2;1;0.000422;0.0;1.420107;1.420530;
OMP+MPI;2;1;0.000398;0.000013;0.773003;0.773403;
Approximate;2;2;0.000466;0.0;0.685156;0.685622;
OMP+MPI;2;2;0.000475;0.000012;0.219712;0.220188;
Approximate;2;4;0.000419;0.0;0.350873;0.351294;
OMP+MPI;2;4;0.000546;0.001753;0.099760;0.100308;
Approximate;4;1;0.000426;0.0;0.685115;0.685541;
OMP+MPI;4;1;0.000465;0.000027;0.223732;0.224199;
Approximate;4;2;0.000452;0.0;0.347026;0.347479;
OMP+MPI;4;2;0.000628;0.000011;0.072012;0.072641;
Approximate;4;4;0.000452;0.0;0.177392;0.177844;
OMP+MPI;4;4;0.000436;0.000124;0.031704;0.032143;
Approximate;8;1;0.000599;0.0;0.368602;0.369201;
OMP+MPI;8;1;0.000414;0.000014;0.109252;0.109668;
Approximate;8;2;0.000422;0.0;0.176032;0.176454;
OMP+MPI;8;2;0.000422;0.000013;0.032742;0.033166;
Approximate;8;4;0.000465;0.0;0.082655;0.083121;
OMP+MPI;8;4;0.000450;0.000449;0.014126;0.014577;
Approximate;1;1;0.000433;0.0;2.801771;2.802204;
OMP+MPI;1;1;0.000416;0.000010;2.762845;2.763263;
Approximate;1;2;0.000607;0.0;1.386508;1.387115;
OMP+MPI;1;2;0.000417;0.000010;0.709673;0.710093;
Approximate;1;4;0.000443;0.0;0.686661;0.687105;
OMP+MPI;1;4;0.000413;0.017863;0.209848;0.210263;
Approximate;2;1;0.000424;0.0;1.387802;1.388226;
OMP+MPI;2;1;0.000409;0.000023;0.753585;0.753997;
Approximate;2;2;0.000459;0.0;0.691290;0.691750;
OMP+MPI;2;2;0.000419;0.000020;0.222376;0.222797;
Approximate;2;4;0.000444;0.0;0.351734;0.352178;
OMP+MPI;2;4;0.000559;0.002804;0.070041;0.070601;
Approximate;4;1;0.000429;0.0;0.691549;0.691978;
OMP+MPI;4;1;0.000907;0.000016;0.237523;0.238434;
