Approximate;1;1;0.001009;0.0;11.457709;11.458718;
OMP+MPI;1;1;0.000978;0.000012;11.138656;11.139638;
Approximate;1;2;0.000928;0.0;5.545175;5.546103;
OMP+MPI;1;2;0.000788;0.001444;2.978609;2.979399;
Approximate;1;4;0.001304;0.0;2.761530;2.762834;
OMP+MPI;1;4;0.001096;0.000056;0.868664;0.869762;
Approximate;2;1;0.000847;0.0;5.531981;5.532829;
OMP+MPI;2;1;0.000815;0.000013;3.006189;3.007005;
Approximate;2;2;0.001186;0.0;2.785280;2.786467;
OMP+MPI;2;2;0.001214;0.026951;0.838316;0.839535;
Approximate;2;4;0.000822;0.0;1.413848;1.414671;
OMP+MPI;2;4;0.001160;0.019880;0.280068;0.281230;
Approximate;4;1;0.000842;0.0;2.746417;2.747260;
OMP+MPI;4;1;0.000807;0.000013;0.845098;0.845906;
Approximate;4;2;0.000911;0.0;1.372309;1.373221;
OMP+MPI;4;2;0.000806;0.000024;0.281049;0.281857;
Approximate;4;4;0.000887;0.0;0.689040;0.689928;
OMP+MPI;4;4;0.001290;0.000043;0.131625;0.132917;
Approximate;8;1;0.000937;0.0;1.399348;1.400285;
OMP+MPI;8;1;0.000803;0.000013;0.278067;0.278872;
Approximate;8;2;0.000850;0.0;0.694379;0.695229;
OMP+MPI;8;2;0.001147;0.000021;0.159512;0.160660;
Approximate;8;4;0.000844;0.0;0.343139;0.343983;
OMP+MPI;8;4;0.000898;0.016868;0.070294;0.071193;
Approximate;1;1;0.000840;0.0;11.158900;11.159741;
OMP+MPI;1;1;0.000833;0.000011;10.981127;10.981962;
Approximate;1;2;0.000958;0.0;5.551794;5.552752;
OMP+MPI;1;2;0.000898;0.000023;3.070618;3.071518;
Approximate;1;4;0.000977;0.0;2.823249;2.824226;
OMP+MPI;1;4;0.001095;0.000043;0.845252;0.846350;
Approximate;2;1;0.001187;0.0;5.457637;5.458824;
OMP+MPI;2;1;0.000803;0.000013;3.015310;3.016116;
Approximate;2;2;0.000890;0.0;2.773353;2.774243;
OMP+MPI;2;2;0.001292;0.013519;0.867277;0.868571;
Approximate;2;4;0.000844;0.0;1.375710;1.376554;
OMP+MPI;2;4;0.000862;0.004379;0.250732;0.251595;
Approximate;4;1;0.000889;0.0;2.718656;2.719545;
OMP+MPI;4;1;0.000900;0.000034;0.853938;0.854840;
Approximate;4;2;0.000823;0.0;1.372278;1.373101;
OMP+MPI;4;2;0.000889;0.006412;0.274110;0.275001;
Approximate;4;4;0.000859;0.0;0.708444;0.709303;
OMP+MPI;4;4;0.000862;0.000064;0.132196;0.133061;
Approximate;8;1;0.000881;0.0;1.412147;1.413028;
OMP+MPI;8;1;0.000994;0.000015;0.278712;0.279708;
Approximate;8;2;0.000917;0.0;0.696028;0.696945;
OMP+MPI;8;2;0.000819;0.000015;0.159414;0.160249;
Approximate;8;4;0.000841;0.0;0.345963;0.346804;
OMP+MPI;8;4;0.001268;0.000079;0.080289;0.081558;
Approximate;1;1;0.000863;0.0;11.072389;11.073253;
OMP+MPI;1;1;0.000804;0.000012;11.097870;11.098676;
Approximate;1;2;0.000845;0.0;5.500306;5.501151;
OMP+MPI;1;2;0.000895;0.000024;3.100734;3.101631;
Approximate;1;4;0.000961;0.0;2.879794;2.880756;
OMP+MPI;1;4;0.000925;0.060832;0.861221;0.862148;
Approximate;2;1;0.000984;0.0;5.576121;5.577105;
OMP+MPI;2;1;0.000873;0.000022;3.195382;3.196257;
Approximate;2;2;0.001202;0.0;2.790868;2.792070;
OMP+MPI;2;2;0.000888;0.020157;0.831518;0.832407;
Approximate;2;4;0.000881;0.0;1.440032;1.440913;
OMP+MPI;2;4;0.000963;0.029777;0.300422;0.301387;
Approximate;4;1;0.000928;0.0;2.815716;2.816644;
OMP+MPI;4;1;0.000815;0.000015;0.856459;0.857275;
Approximate;4;2;0.000916;0.0;1.406465;1.407381;
OMP+MPI;4;2;0.000796;0.006078;0.315277;0.316075;
Approximate;4;4;0.000850;0.0;0.707149;0.707999;
OMP+MPI;4;4;0.001135;0.000059;0.134974;0.136110;
Approximate;8;1;0.001380;0.0;1.448175;1.449555;
OMP+MPI;8;1;0.000807;0.000022;0.296750;0.297558;
Approximate;8;2;0.000866;0.0;0.698850;0.699716;
OMP+MPI;8;2;0.000961;0.000024;0.142759;0.143721;
Approximate;8;4;0.001347;0.0;0.348705;0.350052;
OMP+MPI;8;4;0.000887;0.007373;0.076030;0.076919;
Approximate;1;1;0.000972;0.0;11.142509;11.143482;
OMP+MPI;1;1;0.000813;0.000012;10.994893;10.995707;
Approximate;1;2;0.000904;0.0;5.540417;5.541321;
OMP+MPI;1;2;0.000902;0.020852;3.011306;3.012211;
Approximate;1;4;0.001119;0.0;2.877349;2.878468;
OMP+MPI;1;4;0.001234;0.000069;0.839664;0.840899;
Approximate;2;1;0.000818;0.0;5.392750;5.393568;
OMP+MPI;2;1;0.001263;0.000014;2.984502;2.985767;
Approximate;2;2;0.001062;0.0;2.734079;2.735141;
OMP+MPI;2;2;0.001189;0.000014;0.844038;0.845229;
Approximate;2;4;0.000856;0.0;1.371021;1.371877;
OMP+MPI;2;4;0.001269;0.018842;0.277633;0.278904;
Approximate;4;1;0.000906;0.0;2.745779;2.746686;
OMP+MPI;4;1;0.001001;0.000015;0.841903;0.842906;
Approximate;4;2;0.001026;0.0;1.373029;1.374056;
OMP+MPI;4;2;0.000838;0.000014;0.284160;0.284999;
Approximate;4;4;0.000842;0.0;0.703970;0.704812;
OMP+MPI;4;4;0.000832;0.002046;0.131730;0.132565;
Approximate;8;1;0.000933;0.0;1.430240;1.431173;
OMP+MPI;8;1;0.000802;0.000017;0.268750;0.269554;
Approximate;8;2;0.000882;0.0;0.696113;0.696995;
OMP+MPI;8;2;0.000813;0.004415;0.134979;0.135793;
Approximate;8;4;0.000846;0.0;0.349362;0.350210;
OMP+MPI;8;4;0.001274;0.010283;0.079935;0.081211;
Approximate;1;1;0.000833;0.0;11.128615;11.129449;
OMP+MPI;1;1;0.000930;0.000016;10.908786;10.909718;
Approximate;1;2;0.001102;0.0;5.559639;5.560741;
OMP+MPI;1;2;0.000988;0.000021;3.042913;3.043903;
Approximate;1;4;0.000869;0.0;2.815524;2.816393;
OMP+MPI;1;4;0.000861;0.000055;0.843309;0.844172;
Approximate;2;1;0.000823;0.0;5.444456;5.445279;
OMP+MPI;2;1;0.000879;0.000013;2.999084;2.999965;
Approximate;2;2;0.000826;0.0;2.702407;2.703233;
OMP+MPI;2;2;0.000902;0.000014;0.837314;0.838219;
Approximate;2;4;0.000820;0.0;1.362341;1.363185;
OMP+MPI;2;4;0.000937;0.000039;0.274373;0.275311;
Approximate;4;1;0.000891;0.0;2.735393;2.736284;
OMP+MPI;4;1;0.000948;0.000014;0.843986;0.844936;
Approximate;4;2;0.000865;0.0;1.371980;1.372846;
OMP+MPI;4;2;0.001023;0.008740;0.287540;0.288564;
Approximate;4;4;0.000898;0.0;0.711312;0.712211;
OMP+MPI;4;4;0.000842;0.000052;0.120407;0.121250;
Approximate;8;1;0.000893;0.0;1.405088;1.405981;
OMP+MPI;8;1;0.000813;0.000028;0.289182;0.289996;
Approximate;8;2;0.000882;0.0;0.709644;0.710526;
OMP+MPI;8;2;0.001320;0.007049;0.152148;0.153470;
Approximate;8;4;0.001155;0.0;0.352431;0.353586;
OMP+MPI;8;4;0.001247;0.032407;0.082195;0.083444;
Approximate;1;1;0.000953;0.0;11.335802;11.336756;
OMP+MPI;1;1;0.000849;0.000011;11.023870;11.024720;
Approximate;1;2;0.000915;0.0;5.583640;5.584557;
OMP+MPI;1;2;0.000831;0.020690;3.000258;3.001090;
Approximate;1;4;0.000922;0.0;2.838296;2.839218;
OMP+MPI;1;4;0.000858;0.039307;0.847274;0.848133;
Approximate;2;1;0.000978;0.0;5.552881;5.553859;
OMP+MPI;2;1;0.000888;0.000013;3.002402;3.003292;
Approximate;2;2;0.000826;0.0;2.705710;2.706536;
OMP+MPI;2;2;0.000822;0.000904;0.857021;0.857845;
Approximate;2;4;0.000827;0.0;1.382213;1.383041;
OMP+MPI;2;4;0.001226;0.004222;0.278716;0.279945;
Approximate;4;1;0.000859;0.0;2.726232;2.727091;
OMP+MPI;4;1;0.000897;0.000014;0.849819;0.850718;
Approximate;4;2;0.000831;0.0;1.389889;1.390720;
OMP+MPI;4;2;0.000885;0.003132;0.263070;0.263958;
Approximate;4;4;0.000924;0.0;0.711806;0.712730;
OMP+MPI;4;4;0.000943;0.014604;0.139729;0.140673;
Approximate;8;1;0.000850;0.0;1.358440;1.359290;
OMP+MPI;8;1;0.000812;0.000014;0.279383;0.280197;
Approximate;8;2;0.000896;0.0;0.684017;0.684913;
OMP+MPI;8;2;0.000844;0.000012;0.133211;0.134057;
Approximate;8;4;0.000939;0.0;0.352268;0.353207;
OMP+MPI;8;4;0.001299;0.000054;0.069498;0.070799;
Approximate;1;1;0.000849;0.0;10.986736;10.987585;
OMP+MPI;1;1;0.000810;0.000011;10.951139;10.951952;
Approximate;1;2;0.000805;0.0;5.579320;5.580125;
OMP+MPI;1;2;0.001645;0.003024;2.967679;2.969328;
Approximate;1;4;0.001176;0.0;2.767699;2.768875;
OMP+MPI;1;4;0.001191;0.000063;0.844426;0.845619;
Approximate;2;1;0.000869;0.0;5.525636;5.526506;
OMP+MPI;2;1;0.000968;0.000026;3.117761;3.118730;
Approximate;2;2;0.000836;0.0;2.798862;2.799698;
OMP+MPI;2;2;0.000874;0.031051;0.856111;0.856986;
Approximate;2;4;0.001036;0.0;1.400457;1.401493;
OMP+MPI;2;4;0.001258;0.017327;0.304100;0.305360;
Approximate;4;1;0.000851;0.0;2.726501;2.727352;
OMP+MPI;4;1;0.000855;0.000031;0.817194;0.818051;
Approximate;4;2;0.000846;0.0;1.452074;1.452920;
OMP+MPI;4;2;0.000880;0.000016;0.282384;0.283266;
Approximate;4;4;0.000911;0.0;0.706121;0.707033;
OMP+MPI;4;4;0.001380;0.000093;0.129934;0.131315;
Approximate;8;1;0.000921;0.0;1.396130;1.397052;
OMP+MPI;8;1;0.000823;0.000027;0.272374;0.273198;
Approximate;8;2;0.001189;0.0;0.704666;0.705856;
OMP+MPI;8;2;0.000942;0.000377;0.153665;0.154609;
Approximate;8;4;0.000843;0.0;0.346381;0.347224;
OMP+MPI;8;4;0.001102;0.000046;0.082284;0.083387;
