Approximate;1;1;0.000210;0.0;0.715623;0.715834;
OMP+MPI;1;1;0.000206;0.000012;0.705289;0.705503;
Approximate;1;2;0.000248;0.0;0.368574;0.368823;
OMP+MPI;1;2;0.000222;0.006569;0.182046;0.182271;
Approximate;1;4;0.000215;0.0;0.177639;0.177854;
OMP+MPI;1;4;0.000208;0.000043;0.059500;0.059709;
Approximate;2;1;0.000221;0.0;0.362546;0.362767;
OMP+MPI;2;1;0.000233;0.000013;0.202705;0.202940;
Approximate;2;2;0.000317;0.0;0.181896;0.182213;
OMP+MPI;2;2;0.000234;0.000015;0.062856;0.063092;
Approximate;2;4;0.000214;0.0;0.086734;0.086949;
OMP+MPI;2;4;0.000233;0.000146;0.016725;0.016959;
Approximate;4;1;0.000218;0.0;0.169948;0.170166;
OMP+MPI;4;1;0.000214;0.000012;0.051703;0.051918;
Approximate;4;2;0.000229;0.0;0.088710;0.088939;
OMP+MPI;4;2;0.000208;0.000010;0.018322;0.018531;
Approximate;4;4;0.000211;0.0;0.043836;0.044047;
OMP+MPI;4;4;0.000218;0.004260;0.009365;0.009584;
Approximate;8;1;0.000310;0.0;0.085376;0.085686;
OMP+MPI;8;1;0.000209;0.000028;0.016800;0.017012;
Approximate;8;2;0.000319;0.0;0.049517;0.049836;
OMP+MPI;8;2;0.000213;0.000013;0.013088;0.013302;
Approximate;8;4;0.000210;0.0;0.019426;0.019637;
OMP+MPI;8;4;0.000213;0.002040;0.005851;0.006065;
Approximate;1;1;0.000327;0.0;0.703860;0.704187;
OMP+MPI;1;1;0.000231;0.000010;0.680342;0.680574;
Approximate;1;2;0.000300;0.0;0.345496;0.345797;
OMP+MPI;1;2;0.000213;0.000012;0.183863;0.184078;
Approximate;1;4;0.000216;0.0;0.176802;0.177018;
OMP+MPI;1;4;0.000301;0.010844;0.057767;0.058069;
Approximate;2;1;0.000224;0.0;0.358882;0.359106;
OMP+MPI;2;1;0.000205;0.000016;0.191017;0.191225;
Approximate;2;2;0.000215;0.0;0.178540;0.178755;
OMP+MPI;2;2;0.000313;0.000014;0.064447;0.064762;
Approximate;2;4;0.000213;0.0;0.084252;0.084466;
OMP+MPI;2;4;0.000215;0.000254;0.016705;0.016922;
Approximate;4;1;0.000215;0.0;0.174041;0.174256;
OMP+MPI;4;1;0.000215;0.000051;0.057232;0.057449;
Approximate;4;2;0.000362;0.0;0.089372;0.089735;
OMP+MPI;4;2;0.000328;0.000012;0.044348;0.044678;
Approximate;4;4;0.000207;0.0;0.043512;0.043719;
OMP+MPI;4;4;0.000217;0.000250;0.009616;0.009835;
Approximate;8;1;0.000226;0.0;0.087529;0.087755;
OMP+MPI;8;1;0.000208;0.000013;0.017262;0.017472;
Approximate;8;2;0.000217;0.0;0.043495;0.043712;
OMP+MPI;8;2;0.000218;0.002958;0.012848;0.013068;
Approximate;8;4;0.000278;0.0;0.020564;0.020842;
OMP+MPI;8;4;0.000216;0.000164;0.004610;0.004828;
Approximate;1;1;0.000232;0.0;0.685290;0.685523;
OMP+MPI;1;1;0.000251;0.000037;0.704282;0.704535;
Approximate;1;2;0.000252;0.0;0.392821;0.393073;
OMP+MPI;1;2;0.000209;0.000929;0.181778;0.181990;
Approximate;1;4;0.000201;0.0;0.173555;0.173757;
OMP+MPI;1;4;0.000326;0.000782;0.061742;0.062070;
Approximate;2;1;0.000223;0.0;0.345222;0.345446;
OMP+MPI;2;1;0.000228;0.000011;0.194364;0.194594;
Approximate;2;2;0.000224;0.0;0.167297;0.167522;
OMP+MPI;2;2;0.000211;0.012363;0.075594;0.075806;
Approximate;2;4;0.000217;0.0;0.086301;0.086519;
OMP+MPI;2;4;0.000283;0.001116;0.016112;0.016398;
Approximate;4;1;0.000243;0.0;0.168089;0.168332;
OMP+MPI;4;1;0.000223;0.000014;0.062007;0.062235;
Approximate;4;2;0.000220;0.0;0.090363;0.090585;
OMP+MPI;4;2;0.000217;0.000011;0.017687;0.017905;
Approximate;4;4;0.000216;0.0;0.043472;0.043688;
OMP+MPI;4;4;0.000343;0.003719;0.013136;0.013480;
Approximate;8;1;0.000226;0.0;0.087069;0.087296;
OMP+MPI;8;1;0.000225;0.000013;0.017550;0.017777;
Approximate;8;2;0.000234;0.0;0.042732;0.042966;
OMP+MPI;8;2;0.000218;0.000015;0.012142;0.012362;
Approximate;8;4;0.000264;0.0;0.020287;0.020551;
OMP+MPI;8;4;0.000230;0.000892;0.004940;0.005171;
Approximate;1;1;0.000216;0.0;0.715202;0.715420;
OMP+MPI;1;1;0.000205;0.000010;0.700249;0.700456;
Approximate;1;2;0.000332;0.0;0.369117;0.369449;
OMP+MPI;1;2;0.000206;0.002941;0.192476;0.192683;
Approximate;1;4;0.000216;0.0;0.172647;0.172863;
OMP+MPI;1;4;0.000323;0.000036;0.056998;0.057323;
Approximate;2;1;0.000217;0.0;0.354717;0.354934;
OMP+MPI;2;1;0.000202;0.000036;0.191107;0.191311;
Approximate;2;2;0.000280;0.0;0.180142;0.180422;
OMP+MPI;2;2;0.000206;0.000031;0.056973;0.057181;
Approximate;2;4;0.000220;0.0;0.087696;0.087916;
OMP+MPI;2;4;0.000217;0.002329;0.016470;0.016688;
Approximate;4;1;0.000216;0.0;0.175739;0.175956;
OMP+MPI;4;1;0.000208;0.000011;0.049607;0.049817;
Approximate;4;2;0.000224;0.0;0.085842;0.086066;
OMP+MPI;4;2;0.000345;0.000442;0.018097;0.018443;
Approximate;4;4;0.000267;0.0;0.049470;0.049737;
OMP+MPI;4;4;0.000215;0.001266;0.008797;0.009013;
Approximate;8;1;0.000216;0.0;0.083690;0.083907;
OMP+MPI;8;1;0.000214;0.000043;0.016533;0.016750;
Approximate;8;2;0.000221;0.0;0.051597;0.051818;
OMP+MPI;8;2;0.000220;0.000109;0.008596;0.008818;
Approximate;8;4;0.000216;0.0;0.018782;0.018998;
OMP+MPI;8;4;0.000225;0.000934;0.004875;0.005102;
Approximate;1;1;0.000267;0.0;0.698932;0.699200;
OMP+MPI;1;1;0.000215;0.000011;0.676707;0.676924;
Approximate;1;2;0.000311;0.0;0.356677;0.356989;
OMP+MPI;1;2;0.000205;0.000354;0.179991;0.180197;
Approximate;1;4;0.000209;0.0;0.175779;0.175989;
OMP+MPI;1;4;0.000242;0.011220;0.053374;0.053617;
Approximate;2;1;0.000232;0.0;0.366175;0.366407;
OMP+MPI;2;1;0.000214;0.000016;0.189392;0.189608;
Approximate;2;2;0.000210;0.0;0.177223;0.177433;
OMP+MPI;2;2;0.000238;0.000012;0.050971;0.051210;
Approximate;2;4;0.000226;0.0;0.088121;0.088347;
OMP+MPI;2;4;0.000215;0.001905;0.018342;0.018560;
Approximate;4;1;0.000224;0.0;0.168915;0.169139;
OMP+MPI;4;1;0.000214;0.000012;0.052890;0.053106;
