Approximate;1;1;0.000511;0.0;4.162978;4.163489;
OMP+MPI;1;1;0.000506;0.000012;3.979408;3.979914;
Approximate;1;2;0.000477;0.0;2.028404;2.028881;
OMP+MPI;1;2;0.000657;0.000015;1.092158;1.092815;
Approximate;1;4;0.000507;0.0;1.035380;1.035888;
OMP+MPI;1;4;0.000524;0.029494;0.324379;0.324903;
Approximate;2;1;0.000739;0.0;2.137266;2.138005;
OMP+MPI;2;1;0.000524;0.000065;1.072171;1.072695;
Approximate;2;2;0.000600;0.0;1.014740;1.015340;
OMP+MPI;2;2;0.000532;0.007267;0.308634;0.309166;
Approximate;2;4;0.000512;0.0;0.508648;0.509160;
OMP+MPI;2;4;0.000583;0.013917;0.109321;0.109905;
Approximate;4;1;0.000510;0.0;1.030211;1.030721;
OMP+MPI;4;1;0.000491;0.000013;0.338819;0.339310;
Approximate;4;2;0.000502;0.0;0.508894;0.509396;
OMP+MPI;4;2;0.000506;0.000029;0.102607;0.103113;
Approximate;4;4;0.000514;0.0;0.254846;0.255360;
OMP+MPI;4;4;0.000766;0.000097;0.064013;0.064779;
Approximate;8;1;0.000525;0.0;0.521734;0.522260;
OMP+MPI;8;1;0.000503;0.000013;0.137934;0.138438;
Approximate;8;2;0.000634;0.0;0.254531;0.255165;
OMP+MPI;8;2;0.000601;0.020489;0.072492;0.073093;
Approximate;8;4;0.000487;0.0;0.129477;0.129965;
OMP+MPI;8;4;0.000521;0.003346;0.023444;0.023966;
Approximate;1;1;0.000606;0.0;3.930408;3.931015;
OMP+MPI;1;1;0.000500;0.000016;3.961450;3.961951;
Approximate;1;2;0.000566;0.0;2.040838;2.041404;
OMP+MPI;1;2;0.000545;0.004281;1.109197;1.109742;
Approximate;1;4;0.000655;0.0;1.030901;1.031556;
OMP+MPI;1;4;0.000595;0.021585;0.328992;0.329587;
Approximate;2;1;0.000505;0.0;2.032843;2.033348;
OMP+MPI;2;1;0.000528;0.000015;1.119958;1.120486;
Approximate;2;2;0.000490;0.0;1.023036;1.023526;
OMP+MPI;2;2;0.000501;0.019357;0.333263;0.333764;
Approximate;2;4;0.000584;0.0;0.529922;0.530511;
OMP+MPI;2;4;0.000762;0.000028;0.100524;0.101286;
Approximate;4;1;0.000512;0.0;1.021830;1.022342;
OMP+MPI;4;1;0.000528;0.000014;0.336714;0.337242;
Approximate;4;2;0.000498;0.0;0.530904;0.531403;
OMP+MPI;4;2;0.000606;0.005049;0.107391;0.107997;
Approximate;4;4;0.000505;0.0;0.251934;0.252439;
OMP+MPI;4;4;0.000542;0.014976;0.066248;0.066790;
Approximate;8;1;0.000510;0.0;0.519445;0.519956;
OMP+MPI;8;1;0.000525;0.000058;0.121416;0.121942;
Approximate;8;2;0.000591;0.0;0.257863;0.258455;
OMP+MPI;8;2;0.000500;0.000014;0.072974;0.073474;
Approximate;8;4;0.000622;0.0;0.124627;0.125249;
OMP+MPI;8;4;0.000830;0.000073;0.023599;0.024429;
Approximate;1;1;0.000515;0.0;4.078239;4.078754;
OMP+MPI;1;1;0.000781;0.000012;3.933646;3.934428;
Approximate;1;2;0.000528;0.0;2.003738;2.004266;
OMP+MPI;1;2;0.000513;0.000017;1.131763;1.132276;
Approximate;1;4;0.000505;0.0;0.993158;0.993663;
OMP+MPI;1;4;0.000519;0.031260;0.323931;0.324450;
Approximate;2;1;0.000560;0.0;2.019454;2.020015;
OMP+MPI;2;1;0.000537;0.000015;1.169753;1.170290;
Approximate;2;2;0.000554;0.0;1.066557;1.067111;
OMP+MPI;2;2;0.000494;0.000752;0.324839;0.325333;
Approximate;2;4;0.000530;0.0;0.526840;0.527371;
OMP+MPI;2;4;0.000883;0.000449;0.102383;0.103267;
Approximate;4;1;0.000542;0.0;1.045477;1.046019;
OMP+MPI;4;1;0.000525;0.000013;0.348382;0.348908;
Approximate;4;2;0.000496;0.0;0.525976;0.526473;
OMP+MPI;4;2;0.000625;0.000032;0.130774;0.131399;
Approximate;4;4;0.000622;0.0;0.252144;0.252766;
OMP+MPI;4;4;0.000773;0.023748;0.072723;0.073496;
Approximate;8;1;0.000544;0.0;0.503230;0.503774;
OMP+MPI;8;1;0.000525;0.000050;0.120557;0.121082;
Approximate;8;2;0.000528;0.0;0.252364;0.252893;
OMP+MPI;8;2;0.000527;0.000016;0.051214;0.051741;
Approximate;8;4;0.000543;0.0;0.132687;0.133230;
OMP+MPI;8;4;0.000549;0.000903;0.020819;0.021368;
Approximate;1;1;0.000533;0.0;4.053816;4.054349;
OMP+MPI;1;1;0.000548;0.000013;3.990764;3.991312;
Approximate;1;2;0.000706;0.0;2.011606;2.012312;
OMP+MPI;1;2;0.000525;0.003477;1.127351;1.127878;
Approximate;1;4;0.000593;0.0;1.016067;1.016661;
OMP+MPI;1;4;0.000799;0.037919;0.330614;0.331414;
Approximate;2;1;0.000532;0.0;2.034824;2.035356;
OMP+MPI;2;1;0.000513;0.000014;1.102390;1.102904;
Approximate;2;2;0.000554;0.0;1.022496;1.023051;
OMP+MPI;2;2;0.000602;0.000014;0.337695;0.338297;
Approximate;2;4;0.000528;0.0;0.514601;0.515129;
OMP+MPI;2;4;0.000523;0.000038;0.099365;0.099888;
Approximate;4;1;0.000543;0.0;1.024173;1.024716;
OMP+MPI;4;1;0.000505;0.000029;0.328725;0.329230;
Approximate;4;2;0.000498;0.0;0.502805;0.503303;
OMP+MPI;4;2;0.000501;0.013748;0.131216;0.131718;
Approximate;4;4;0.000509;0.0;0.250101;0.250610;
OMP+MPI;4;4;0.000512;0.000047;0.053763;0.054275;
Approximate;8;1;0.000562;0.0;0.515931;0.516493;
OMP+MPI;8;1;0.000505;0.000013;0.129442;0.129947;
Approximate;8;2;0.000617;0.0;0.255225;0.255842;
OMP+MPI;8;2;0.000508;0.000011;0.076554;0.077063;
Approximate;8;4;0.000840;0.0;0.130068;0.130909;
OMP+MPI;8;4;0.000547;0.000250;0.020666;0.021214;
Approximate;1;1;0.000704;0.0;4.016427;4.017132;
OMP+MPI;1;1;0.000501;0.000011;3.991316;3.991817;
Approximate;1;2;0.000640;0.0;2.005301;2.005941;
OMP+MPI;1;2;0.000705;0.002068;1.101193;1.101898;
Approximate;1;4;0.000496;0.0;1.015443;1.015939;
OMP+MPI;1;4;0.000764;0.027931;0.336874;0.337639;
Approximate;2;1;0.000756;0.0;2.033473;2.034229;
OMP+MPI;2;1;0.000544;0.000025;1.146485;1.147029;
Approximate;2;2;0.000779;0.0;1.028458;1.029237;
OMP+MPI;2;2;0.000533;0.007421;0.327256;0.327789;
Approximate;2;4;0.000713;0.0;0.507931;0.508644;
OMP+MPI;2;4;0.000594;0.000036;0.104153;0.104747;
Approximate;4;1;0.000510;0.0;1.014446;1.014956;
OMP+MPI;4;1;0.000504;0.000030;0.348729;0.349233;
