Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00046743;0.65929400;0.65978629;1.00000000;100.0000
Approximate;2;1024;0.00049943;0.31445886;0.31497971;1.00000000;100.0000
Approximate;4;1024;0.00049600;0.16089300;0.16141643;1.00000000;100.0000
Approximate;8;1024;0.00047271;0.08029857;0.08079357;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00864157;0.70857143;0.93115000;93.1150
OMP+CUDA;2;1024;0.00014286;0.00859229;0.26842857;1.17342097;58.6710
OMP+CUDA;4;1024;0.00000000;0.00869186;0.14871429;1.08541306;27.1353
OMP+CUDA;8;1024;0.00000000;0.00876043;0.12714286;0.63545506;7.9432
OMP+CUDA_L1;1;1024;0.00000000;0.00850671;0.71385714;0.92425535;92.4255
OMP+CUDA_L1;2;1024;0.00000000;0.00851271;0.27471429;1.14657202;57.3286
OMP+CUDA_L1;4;1024;0.00000000;0.00855943;0.14614286;1.10451124;27.6128
OMP+CUDA_L1;8;1024;0.00000000;0.00866386;0.12400000;0.65156106;8.1445
