Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00022357;0.15919757;0.15943386;1.00000000;100.0000
Approximate;2;1024;0.00022986;0.07972514;0.07996929;1.00000000;100.0000
Approximate;4;1024;0.00022514;0.03916429;0.03940243;1.00000000;100.0000
Approximate;8;1024;0.00022757;0.01996643;0.02020886;1.00000000;100.0000
OMP+CUDA;1;1024;0.00000000;0.00432286;0.25485714;0.62558128;62.5581
OMP+CUDA;2;1024;0.00000000;0.00436171;0.15457143;0.51736137;25.8681
OMP+CUDA;4;1024;0.00000000;0.00439971;0.11471429;0.34348319;8.5871
OMP+CUDA;8;1024;0.00000000;0.00456186;0.11800000;0.17126150;2.1408
OMP+CUDA_L1;1;1024;0.00000000;0.00439929;0.25300000;0.63017335;63.0173
OMP+CUDA_L1;2;1024;0.00000000;0.00440057;0.14300000;0.55922577;27.9613
OMP+CUDA_L1;4;1024;0.00000000;0.00450757;0.11671429;0.33759731;8.4399
OMP+CUDA_L1;8;1024;0.00000000;0.00430814;0.11657143;0.17336029;2.1670
