Modality;OMP;BlockSize;String_generation_time;Kernel_edit_distance_time;Program_execution_time;speedup;efficiency
Approximate;1;1024;0.00092243;2.52639943;2.52736371;1.00000000;100.0000
Approximate;2;1024;0.00094957;1.25884829;1.25986214;1.00000000;100.0000
Approximate;4;1024;0.00086614;0.64514557;0.64605643;1.00000000;100.0000
Approximate;8;1024;0.00086957;0.32191129;0.32282286;1.00000000;100.0000
OMP+CUDA;1;1024;0.00100000;0.03843700;2.49571429;1.01268151;101.2682
OMP+CUDA;2;1024;0.00100000;0.03963700;0.73914286;1.70449072;85.2245
OMP+CUDA;4;1024;0.00100000;0.03935271;0.28185714;2.29214141;57.3035
OMP+CUDA;8;1024;0.00100000;0.03834371;0.17871429;1.80636291;22.5795
OMP+CUDA_L1;1;1024;0.00100000;0.03912943;2.47857143;1.01968565;101.9686
OMP+CUDA_L1;2;1024;0.00100000;0.03799729;0.74128571;1.69956350;84.9782
OMP+CUDA_L1;4;1024;0.00100000;0.03907457;0.27342857;2.36279781;59.0699
OMP+CUDA_L1;8;1024;0.00100000;0.03876500;0.15700000;2.05619654;25.7025
